Complexity,Loss,Equation
3,2.7518e-5,"eft_flux_sfc + eft_flux_sfc"
4,8.2443175e-6,"0.064435095 * 0.072603814"
6,8.026297e-6,"-0.0054464745 * (0.057200186 - del_eft)"
