Complexity,Loss,Equation
1,0.00011881681,"-0.016805338"
5,6.721558e-5,"(0.0228562 / dtheta_p) - 0.030477121"
7,5.095465e-5,"((-0.0005002866 / dtheta_p) / w_e) - 0.0313725"
9,4.2299416e-5,"0.44950968 / (((0.87714857 / w_e) / dtheta_p) - dtheta_p)"
11,2.1733103e-5,"0.26327574 / (((0.9385478 / (dtheta_p * w_e)) / dtheta_p) - dtheta_p)"
13,2.081491e-5,"0.24126537 / (((0.9385478 / ((dtheta_p * w_e) * dtheta_p)) - dtheta_p) - -0.91851413)"
15,2.0493912e-5,"0.24126537 / (((0.9385478 / ((dtheta_p * w_e) * (0.08277572 + dtheta_p))) - dtheta_p) - -0.9163699)"
17,1.6913218e-5,"(-0.22790435 + 0.4253887) / (((1.2038088 / w_e) / ((dtheta_p * dtheta_p) + 1.1589563)) - (-2.389465 + dtheta_p))"
19,1.6622153e-5,"(-0.22790435 + 0.4253887) / ((((1.2038088 / w_e) / ((dtheta_p * dtheta_p) + 1.2038088)) - (-0.17542264 + -2.389465)) - dtheta_p)"
