Complexity,Loss,Equation
1,2.521367e-7,"-0.0003326639"
3,5.0732798e-8,"-0.020908013 * sigma_th"
5,2.507269e-8,"(sigma_th * -0.030759426) + Multi"
7,8.342001e-9,"0.60634226 * (Multi + (sigma_th * -0.044119157))"
9,7.53314e-9,"((Multi + -2.973591e-5) * 0.6390798) - (sigma_th * 0.027205994)"
11,6.8830253e-9,"((-2.973591e-5 + Multi) * (0.6622715 - wtheta)) - (sigma_th * 0.027205994)"
13,4.817637e-9,"((-0.0024893184 * wtheta) + (0.47018164 * Multi)) - (0.019424222 * (sigma_th / 0.7817708))"
15,4.816214e-9,"((-0.0024893184 * wtheta) + (0.47018164 * Multi)) - ((0.019424222 / 1.0015116) * (sigma_th / 0.7817708))"
