Complexity,Loss,Equation
1,2.5213762e-7,"-0.00033223798"
3,5.073341e-8,"sigma_th * -0.020862097"
5,3.331097e-8,"0.023230616 * (dTheta_dz - sigma_th)"
7,1.5369256e-8,"0.19604653 * ((-0.09991281 - wtheta) * sigma_th)"
9,8.379012e-9,"(sigma_th * -0.027196053) + (sigma_2 * (dTheta_dz * 0.6288385))"
11,6.8313812e-9,"(dTheta_dz * (0.62884283 * sigma_2)) + ((sigma_th * -0.026402982) - 4.067637e-5)"
13,6.460431e-9,"(dTheta_dz * (0.62884283 * sigma_2)) + ((sigma_th * -0.026402982) - (4.067637e-5 * sigma_2))"
